English;Japanese/___;Hawaii;Korean/___;Français;Dutch;Deutsch;Catalan;España;Portugal;Italiano;Swedish;Danish;Norwegian;Croatian;Greek;Russian;Turkish;Vietnamese;Mandarin Chinese
Source Language;____;Source Language;__ __;Langue départ;Source Language;Ausgangssprache;Llengua origen;Idioma de origen;Idioma de origem;Lingua di partenza;Source Language;Source Language;Source Language;Source Language;Source Language;Source Language;Source Language;Source Language;Source Language
Target Language;____;Target Language;____, ____;Langue traduction;Target Language;Zielsprache;Llengua traducció;Idioma de traducción;Idioma final;Lingua traduzione;Target Language;Target Language;Target Language;Target Language;Target Language;Target Language;Target Language;Target Language;Target Language
Search;__;Search;__;Recherche;Search;Suche;Cerca;Búsqueda;Pesquisa;Cerca;Search;Search;Search;Search;Search;Search;Search;Search;Search
Back;__;Back;__ ;Retour;Back;Zurück;Tornar;Retorno;Voltar;Indietro;Back;Back;Back;Back;Back;Back;Back;Back;Back
Enter fish name …;______________…;Enter fish name …;___ ___ _____.;Écrivez nom poisson …;Enter fish name …;Gib Fischnamen ein.;Escriviu el nom del peix.;Teclee el nombre del pescado …;Inserir nome de peixe …;Inserire nome del pesce.;Enter fish name …;Enter fish name …;Enter fish name …;Enter fish name …;Enter fish name …;Enter fish name …;Enter fish name …;Enter fish name …;Enter fish name …
There are %d names available.;%d ________;There are %d names available.;: %d ____ _____.;%d noms disponibles.;There are %d names available.;Es gibt %d entsprechende Namen. ;Ha %d noms disponibles;Hay %d nombres disponibles.;%d nomes disponíveis.;Ci sono %d nomi disponibili.;There are %d names available.;There are %d names available.;There are %d names available.;There are %d names available.;There are %d names available.;There are %d names available.;There are %d names available.;There are %d names available.;There are %d names available.
"There is no name matching text ""%s"".";”_s”______________;"There is no name matching text ""%s"".";""" %s""_ ____ ___ ____.";"Pas de nom correspondant a ""%s"".";"There is no name matching text ""%s"".";"Kein Treffer  für ""%s"".";"No hi ha nom que coincideixi amb el text ""% s"".";"No hay nombre correspondiente a ""%s"".";"O texto ""%s"" não produziu nenhum resultado.";"Non ci sono corrispondenze per il testo ""%s"".";"There is no name matching text ""%s"".";"There is no name matching text ""%s"".";"There is no name matching text ""%s"".";"There is no name matching text ""%s"".";"There is no name matching text ""%s"".";"There is no name matching text ""%s"".";"There is no name matching text ""%s"".";"There is no name matching text ""%s"".";"There is no name matching text ""%s""."
"There is 1 name matching text ""%s"".";"""%s""________1_____";"There is 1 name matching text ""%s"".";""" %s""_ ____ ___ 1_ ____.";"1 résultât pour ""%s"".";"There is 1 name matching text ""%s"".";"1 Treffer für ""%s"".";"Ha 1 nom que coincideixi amb el text ""% s"".";"Hay 1 nombre correspondiente a ""%s"".";"Foi encontrado 1 nome correspondente a “%s"".";"C'è 1 corrispondenza per il testo ""%s"".";"There is 1 name matching text ""%s"".";"There is 1 name matching text ""%s"".";"There is 1 name matching text ""%s"".";"There is 1 name matching text ""%s"".";"There is 1 name matching text ""%s"".";"There is 1 name matching text ""%s"".";"There is 1 name matching text ""%s"".";"There is 1 name matching text ""%s"".";"There is 1 name matching text ""%s""."
"There are %d names matching text ""%s"".";"""%s"" ________%d_____ ";"There are %d names matching text ""%s"".";"""%s""_ ____ %d ____ ____.";"%d résultats pour ""%s"".";"There are %d names matching text ""%s"".";"%d Treffer für ""%s"".";"Hi ha %d noms que coincideixin amb el text ""% s"".";"Hay %d nombres correspondientes a ""%s"".";"Foram encontrados %d nomes correspondentes a ""%s"".";"Ci sono %d corrispondenze per il testo ""%s"".";"There are %d names matching text ""%s"".";"There are %d names matching text ""%s"".";"There are %d names matching text ""%s"".";"There are %d names matching text ""%s"".";"There are %d names matching text ""%s"".";"There are %d names matching text ""%s"".";"There are %d names matching text ""%s"".";"There are %d names matching text ""%s"".";"There are %d names matching text ""%s""."
Please type more text.;__________;Please type more text.;_ __ __ _____.;Écrivez plus de texte.;Please type more text.;Gib mehr Text ein.;Escrigui més.;Teclee más texto.;Por favor inserir mais texto.;Aggiungere lettere.;Please type more text.;Please type more text.;Please type more text.;Please type more text.;Please type more text.;Please type more text.;Please type more text.;Please type more text.;Please type more text.
no translation found in this language.;________________________;no translation found in this language.;_ ___ ___ __ _ ____.;Pas de traduction dans cette langue.;no translation found in this language.;Keine Übersetzung gefunden.;No ha trobat traducció en aquesta llengua.;No se encontró traducción en este idioma.;Não foi encontrada nenhuma tradução nesta língua.;Nessuna traduzione trovata per questa lingua.;no translation found in this language.;no translation found in this language.;no translation found in this language.;no translation found in this language.;no translation found in this language.;no translation found in this language.;no translation found in this language.;no translation found in this language.;no translation found in this language.
Concern :;____;Concern :;Concern/__;Soucis:;Concern :;Bedrohung:;Preocupació ambiental;Alerta ambiental;Questões ecológicas.;Problematiche:;Concern :;Concern :;Concern :;Concern :;Concern :;Concern :;Concern :;Concern :;Concern :
Home;___;Home;___;Accueil;Home;Start;Inici;Inicio;Início ;Home;Home;Home;Home;Home;Home;Home;Home;Home;Home
Previous;__;Previous;__;Antérieur;Previous;Zurück;Anterior;Anterior;Anterior;Precedente;Previous;Previous;Previous;Previous;Previous;Previous;Previous;Previous;Previous
